,1,2,2.1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
163,20141020 83路,604路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,20141020 517路,731路区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,20141224 72路,707路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,20141224 133路,715路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,20141224 54路,686路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,20141224 301路,快速公交3线支,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,20151223 470路,专160路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,20160723 128路,685路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,20160723 895路,837路快,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,20161220 专71路,581路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,20170713 专123路,专77路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,20170713 专124路,专77路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,20170726 S101路,923路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,20170815 350路,433路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,20170825 T108路,823路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,20170909 50路,741路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,20170909 610路,特10路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,20170920 Y45路,920路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,20170920 Y46路,921路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,20171110 394路,特6路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,20171220 H63路,863路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,20171220 H64路,864路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,20171220 H69路,869路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,20171227 M27路,M1路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,20171227 M1路,964路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,20180112 90路,特3路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,20180720 388路,648路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,20180802 402路,503路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,20180810 专29路,448路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,20181219 X105路,940路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,20190611 126路,673路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,20190621 486路,677路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
